member_id,chamber,congress,number,date,year,category,requires,vote_id,question,bill,amendment,vote,bill_title,amendment_title,text
S223,s,106.0,108.0,2000-05-24T15:37:00-04:00,2000,nomination,1/2,s108-106.2000,"On the Nomination PN813: Danny Lee McDonald, of Oklahoma, to be a Member of the Federal Election Commission for a term expiring April 30, 2005",null,null,1.0,,,"On the Nomination PN: Danny Lee McDonald, of Oklahoma, to be a Member of the Federal Election Commission for a term expiring April ,   "
S223,s,106.0,109.0,2000-05-24T00:00:00-04:00,2000,nomination,1/2,s109-106.2000,"On the Nomination PN36: Timothy B. Dyk, of the District of Columbia, to be United States Circuit Judge for the Federal Circuit",null,null,1.0,,,"On the Nomination PN: Timothy B. Dyk, of the District of Columbia, to be United States Circuit Judge for the Federal Circuit  "
S223,s,106.0,11.0,2000-02-10T14:26:00-05:00,2000,nomination,1/2,s11-106.2000,"On the Nomination PN571: Joel A. Pisano, of New Jersey, to be United States District Judge for the District of New Jersey vice Maryanne Trump Barry, elevated",null,null,1.0,,,"On the Nomination PN: Joel A. Pisano, of New Jersey, to be United States District Judge for the District of New Jersey vice Maryanne Trump Barry, elevated  "
S223,s,106.0,110.0,2000-05-24T16:14:00-04:00,2000,nomination,1/2,s110-106.2000,"On the Nomination PN866: Gerard E. Lynch, of New York, to be a United States District Judge for the Southern District of New York vice John E. Sprizzo, retired",null,null,1.0,,,"On the Nomination PN: Gerard E. Lynch, of New York, to be a United States District Judge for the Southern District of New York vice John E. Sprizzo, retired  "
S223,s,106.0,111.0,2000-05-24T16:31:00-04:00,2000,nomination,1/2,s111-106.2000,"On the Nomination PN428: James J. Brady, of Louisiana, to be United States District Judge for the Middle District of Louisiana vice John V. Parker, retired",null,null,1.0,,,"On the Nomination PN: James J. Brady, of Louisiana, to be United States District Judge for the Middle District of Louisiana vice John V. Parker, retired  "
S223,s,106.0,112.0,2000-05-24T16:54:00-04:00,2000,nomination,1/2,s112-106.2000,"On the Nomination PN883: Mary A. McLaughlin, of Pennsylvania, to be United States District Judge for the Eastern District of Pennsylvania",null,null,1.0,,,"On the Nomination PN: Mary A. McLaughlin, of Pennsylvania, to be United States District Judge for the Eastern District of Pennsylvania  "
S223,s,106.0,113.0,2000-05-25T10:43:00-04:00,2000,amendment,1/2,s113-106.2000,"On the Amendment S.Amdt. 3166 to S. 2603 (Legislative Branch Appropriations Act, 2001)","{""title"": ""Legislative Branch Appropriations Act, 2001"", ""type"": ""s"", ""number"": 2603, ""congress"": 106}","{""type"": ""s"", ""number"": 3166, ""purpose"": ""To express the sense of the Senate commending the United States Capitol Police.""}",1.0,"Legislative Branch Appropriations Act, 2001",,"On the Amendment S.Amdt.  to S.  (Legislative Branch Appropriations Act, ) Legislative Branch Appropriations Act,  "
S223,s,106.0,114.0,2000-05-25T11:19:00-04:00,2000,procedural,1/2,s114-106.2000,On the Motion (Shall S. 2603 Be Engrossed And Advanced To Third Reading?),"{""title"": ""An original bill making appropriations for the Legislative Branch for the fiscal year ending September 30, 2001, and for other purposes."", ""type"": ""s"", ""number"": 2603, ""congress"": 106}",null,1.0,"An original bill making appropriations for the Legislative Branch for the fiscal year ending September 30, 2001, and for other purposes.",,"On the Motion (Shall S.  Be Engrossed And Advanced To Third Reading?) An original bill making appropriations for the Legislative Branch for the fiscal year ending September , , and for other purposes. "
S223,s,106.0,115.0,2000-05-25T15:37:00-04:00,2000,passage,1/2,s115-106.2000,On the Conference Report H.R. 2559,"{""title"": ""A bill to amend the Federal Crop Insurance Act to strengthen the safety net for agricultural producers by providing greater access to more affordable risk management tools and improved protection from production and income loss, to improve the efficiency and integrity of the Federal crop insurance program, and for other purposes."", ""type"": ""hr"", ""number"": 2559, ""congress"": 106}",null,1.0,"A bill to amend the Federal Crop Insurance Act to strengthen the safety net for agricultural producers by providing greater access to more affordable risk management tools and improved protection from production and income loss, to improve the efficiency and integrity of the Federal crop insurance program, and for other purposes.",,"On the Conference Report H.R.  A bill to amend the Federal Crop Insurance Act to strengthen the safety net for agricultural producers by providing greater access to more affordable risk management tools and improved protection from production and income loss, to improve the efficiency and integrity of the Federal crop insurance program, and for other purposes. "
S223,s,106.0,116.0,2000-06-06T16:58:00-04:00,2000,amendment,1/2,s116-106.2000,On the Amendment S.Amdt. 3179 to S. 2549 (National Defense Authorization Act for Fiscal Year 2001),"{""title"": ""National Defense Authorization Act for Fiscal Year 2001"", ""type"": ""s"", ""number"": 2549, ""congress"": 106}","{""type"": ""s"", ""number"": 3179, ""purpose"": ""To establish a special subsistence allowance for certain members of the uniformed services who are eligible to receive food stamp assistance.""}",1.0,National Defense Authorization Act for Fiscal Year 2001,,On the Amendment S.Amdt.  to S.  (National Defense Authorization Act for Fiscal Year ) National Defense Authorization Act for Fiscal Year  
S223,s,106.0,117.0,2000-06-07T12:18:00-04:00,2000,amendment,1/2,s117-106.2000,On the Amendment S.Amdt. 3173 to S. 2549 (National Defense Authorization Act for Fiscal Year 2001),"{""title"": ""National Defense Authorization Act for Fiscal Year 2001"", ""type"": ""s"", ""number"": 2549, ""congress"": 106}","{""type"": ""s"", ""number"": 3173, ""purpose"": ""To extend eligibility for medical care under CHAMPUS and TRICARE to persons over age 64.""}",1.0,National Defense Authorization Act for Fiscal Year 2001,,On the Amendment S.Amdt.  to S.  (National Defense Authorization Act for Fiscal Year ) National Defense Authorization Act for Fiscal Year  
S223,s,106.0,118.0,2000-06-07T13:00:00-04:00,2000,procedural,3/5,s118-106.2000,On the Motion (Motion To Waive C.B.A. RE: Johnson Amendment No. 3191),"{""title"": ""National Defense Authorization Act for Fiscal Year 2001"", ""type"": ""s"", ""number"": 2549, ""congress"": 106}","{""type"": ""s"", ""number"": 3191, ""purpose"": ""To restore health care coverage to retired members of the uniformed services.""}",1.0,National Defense Authorization Act for Fiscal Year 2001,,On the Motion (Motion To Waive C.B.A. RE: Johnson Amendment No. ) National Defense Authorization Act for Fiscal Year  
S223,s,106.0,119.0,2000-06-07T13:23:00-04:00,2000,amendment,1/2,s119-106.2000,On the Amendment S.Amdt. 3184 to S.Amdt. 3183 to S. 2549 (National Defense Authorization Act for Fiscal Year 2001),"{""title"": ""National Defense Authorization Act for Fiscal Year 2001"", ""type"": ""s"", ""number"": 2549, ""congress"": 106}","{""type"": ""s"", ""number"": 3184, ""purpose"": ""To provide for correction of scope of waiver authority for limitation on retirement or dismantlement of strategic nuclear delivery systems and authority to waive limitation.""}",0.0,National Defense Authorization Act for Fiscal Year 2001,,On the Amendment S.Amdt.  to S.Amdt.  to S.  (National Defense Authorization Act for Fiscal Year ) National Defense Authorization Act for Fiscal Year  
S223,s,106.0,12.0,2000-02-24T11:37:00-05:00,2000,passage,1/2,s12-106.2000,On Passage of the Bill H.R. 1883,"{""title"": ""A bill to provide for the application of measures to foreign persons who transfer to Iran certain goods, services, or technology, and for other purposes."", ""type"": ""hr"", ""number"": 1883, ""congress"": 106}",null,1.0,"A bill to provide for the application of measures to foreign persons who transfer to Iran certain goods, services, or technology, and for other purposes.",,"On Passage of the Bill H.R.  A bill to provide for the application of measures to foreign persons who transfer to Iran certain goods, services, or technology, and for other purposes. "
S223,s,106.0,120.0,2000-06-07T17:07:00-04:00,2000,amendment,1/2,s120-106.2000,On the Amendment S.Amdt. 3197 to S. 2549 (National Defense Authorization Act for Fiscal Year 2001),"{""title"": ""National Defense Authorization Act for Fiscal Year 2001"", ""type"": ""s"", ""number"": 2549, ""congress"": 106}","{""type"": ""s"", ""number"": 3197, ""purpose"": ""To authorize additional rounds of base closures and realignments under the Defense Base Closure and Realignment Act of 1990 in 2003 and 2005.""}",0.0,National Defense Authorization Act for Fiscal Year 2001,,On the Amendment S.Amdt.  to S.  (National Defense Authorization Act for Fiscal Year ) National Defense Authorization Act for Fiscal Year  
S223,s,106.0,121.0,2000-06-08T17:41:00-04:00,2000,procedural,1/2,s121-106.2000,On the Motion to Table S.Amdt. 3273 to S. 2549 (National Defense Authorization Act for Fiscal Year 2001),"{""title"": ""National Defense Authorization Act for Fiscal Year 2001"", ""type"": ""s"", ""number"": 2549, ""congress"": 106}","{""type"": ""s"", ""number"": 3273, ""purpose"": ""To amend the Public Health Service Act, the Employee Retirement Income Security Act of 1974, and the Internal Revenue Code of 1986 to protect consumers in managed care plans and other health coverage.""}",0.0,National Defense Authorization Act for Fiscal Year 2001,,On the Motion to Table S.Amdt.  to S.  (National Defense Authorization Act for Fiscal Year ) National Defense Authorization Act for Fiscal Year  
S223,s,106.0,122.0,2000-06-08T18:13:00-04:00,2000,procedural,1/2,s122-106.2000,On the Point of Order S.Amdt. 3214 to S.Amdt. 3210 to S. 2549 (National Defense Authorization Act for Fiscal Year 2001),"{""title"": ""National Defense Authorization Act for Fiscal Year 2001"", ""type"": ""s"", ""number"": 2549, ""congress"": 106}","{""type"": ""s"", ""number"": 3214, ""purpose"": ""To require the disclosure of expenditures and contributions by certain political organizations.""}",0.0,National Defense Authorization Act for Fiscal Year 2001,,On the Point of Order S.Amdt.  to S.Amdt.  to S.  (National Defense Authorization Act for Fiscal Year ) National Defense Authorization Act for Fiscal Year  
S223,s,106.0,123.0,2000-06-09T09:41:00-04:00,2000,amendment,1/2,s123-106.2000,"On the Amendment S.Amdt. 3279 to H.R. 4576 (Departments of Defense Act, 2001)","{""title"": ""Departments of Defense Act, 2001"", ""type"": ""hr"", ""number"": 4576, ""congress"": 106}","{""type"": ""s"", ""number"": 3279, ""purpose"": ""To require the Department of Defense to match certain disbursements with obligations prior to payment.""}",1.0,"Departments of Defense Act, 2001",,"On the Amendment S.Amdt.  to H.R.  (Departments of Defense Act, ) Departments of Defense Act,  "
S223,s,106.0,124.0,2000-06-13T14:20:00-04:00,2000,amendment,1/2,s124-106.2000,"On the Amendment S.Amdt. 3308 to H.R. 4576 (Departments of Defense Act, 2001)","{""title"": ""Departments of Defense Act, 2001"", ""type"": ""hr"", ""number"": 4576, ""congress"": 106}","{""type"": ""s"", ""number"": 3308, ""purpose"": ""To prohibit the use of funds for the preventative application of dangerous pesticides in areas owned or managed by the Department of Defense that may be used by children.""}",1.0,"Departments of Defense Act, 2001",,"On the Amendment S.Amdt.  to H.R.  (Departments of Defense Act, ) Departments of Defense Act,  "
S223,s,106.0,125.0,2000-06-13T18:10:00-04:00,2000,procedural,1/2,s125-106.2000,"On the Motion to Table S.Amdt. 3311 to H.R. 4576 (Departments of Defense Act, 2001)","{""title"": ""Departments of Defense Act, 2001"", ""type"": ""hr"", ""number"": 4576, ""congress"": 106}","{""type"": ""s"", ""number"": 3311, ""purpose"": ""To strike Section 8114 regarding Operational Support Aircraft Leasing Authority.""}",0.0,"Departments of Defense Act, 2001",,"On the Motion to Table S.Amdt.  to H.R.  (Departments of Defense Act, ) Departments of Defense Act,  "
S223,s,106.0,126.0,2000-06-13T18:41:00-04:00,2000,procedural,1/2,s126-106.2000,"On the Motion to Table S.Amdt. 3366 to H.R. 4576 (Departments of Defense Act, 2001)","{""title"": ""Departments of Defense Act, 2001"", ""type"": ""hr"", ""number"": 4576, ""congress"": 106}","{""type"": ""s"", ""number"": 3366, ""purpose"": ""To reduce the total amount provided for procurement by $1,000,000,000 in order to provide $922,000,000 for grants under part A of title I of the Elementary and Secondary Education Act of 1965.""}",0.0,"Departments of Defense Act, 2001",,"On the Motion to Table S.Amdt.  to H.R.  (Departments of Defense Act, ) Departments of Defense Act,  "
S223,s,106.0,127.0,2000-06-13T18:58:00-04:00,2000,passage,1/2,s127-106.2000,On Passage of the Bill H.R. 4576,"{""title"": ""A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 2001, and for other purposes."", ""type"": ""hr"", ""number"": 4576, ""congress"": 106}",null,0.0,"A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 2001, and for other purposes.",,"On Passage of the Bill H.R.  A bill making appropriations for the Department of Defense for the fiscal year ending September , , and for other purposes. "
S223,s,106.0,128.0,2000-06-14T11:32:00-04:00,2000,nomination,1/2,s128-106.2000,"On the Nomination PN1010: General John A. Gordon, United States Air Force, to be Under Secretary for Nuclear Security, Department of Energy",null,null,1.0,,,"On the Nomination PN: General John A. Gordon, United States Air Force, to be Under Secretary for Nuclear Security, Department of Energy  "
S223,s,106.0,129.0,2000-06-14T17:41:00-04:00,2000,amendment,1/2,s129-106.2000,"On the Amendment S.Amdt. 3428 to S.Amdt. 3426 to H.R. 4475 (Department of Transportation and Related Agencies Appropriations Act, 2001)","{""title"": ""Department of Transportation and Related Agencies Appropriations Act, 2001"", ""type"": ""hr"", ""number"": 4475, ""congress"": 106}","{""type"": ""s"", ""number"": 3428, ""purpose"": ""To modify a highway project in the State of Iowa.""}",1.0,"Department of Transportation and Related Agencies Appropriations Act, 2001",,"On the Amendment S.Amdt.  to S.Amdt.  to H.R.  (Department of Transportation and Related Agencies Appropriations Act, ) Department of Transportation and Related Agencies Appropriations Act,  "
S223,s,106.0,13.0,2000-02-24T12:16:00-05:00,2000,nomination,1/2,s13-106.2000,"On the Nomination PN239: Kermit Bye, of North Dakota, to be United States Circuit Judge for the Eighth Circuit",null,null,1.0,,,"On the Nomination PN: Kermit Bye, of North Dakota, to be United States Circuit Judge for the Eighth Circuit  "
S223,s,106.0,130.0,2000-06-15T11:01:00-04:00,2000,procedural,1/2,s130-106.2000,"Whether the Amendment is Germane S.Amdt. 3434 to H.R. 4475 (Department of Transportation and Related Agencies Appropriations Act, 2001)","{""title"": ""Department of Transportation and Related Agencies Appropriations Act, 2001"", ""type"": ""hr"", ""number"": 4475, ""congress"": 106}","{""type"": ""s"", ""number"": 3434, ""purpose"": ""To provide increased flexibility in use of highway funding.""}",1.0,"Department of Transportation and Related Agencies Appropriations Act, 2001",,"Whether the Amendment is Germane S.Amdt.  to H.R.  (Department of Transportation and Related Agencies Appropriations Act, ) Department of Transportation and Related Agencies Appropriations Act,  "
S223,s,106.0,131.0,2000-06-15T14:57:00-04:00,2000,amendment,1/2,s131-106.2000,"On the Amendment S.Amdt. 3430 to H.R. 4475 (Department of Transportation and Related Agencies Appropriations Act, 2001)","{""title"": ""Department of Transportation and Related Agencies Appropriations Act, 2001"", ""type"": ""hr"", ""number"": 4475, ""congress"": 106}","{""type"": ""s"", ""number"": 3430, ""purpose"": ""To provide for an additional payment from the surplus to reduce the public debt.""}",1.0,"Department of Transportation and Related Agencies Appropriations Act, 2001",,"On the Amendment S.Amdt.  to H.R.  (Department of Transportation and Related Agencies Appropriations Act, ) Department of Transportation and Related Agencies Appropriations Act,  "
S223,s,106.0,132.0,2000-06-15T15:34:00-04:00,2000,passage,1/2,s132-106.2000,On Passage of the Bill H.R. 4475,"{""title"": ""A bill making appropriations for the Department of Transportation and related agencies for the fiscal year ending September 30, 2001, and for other purposes."", ""type"": ""hr"", ""number"": 4475, ""congress"": 106}",null,1.0,"A bill making appropriations for the Department of Transportation and related agencies for the fiscal year ending September 30, 2001, and for other purposes.",,"On Passage of the Bill H.R.  A bill making appropriations for the Department of Transportation and related agencies for the fiscal year ending September , , and for other purposes. "
S223,s,106.0,133.0,2000-06-16T09:36:00-04:00,2000,passage,1/2,s133-106.2000,On the Conference Report S. 761,"{""title"": ""A bill to regulate interstate commerce by electronic means by permitting and encouraging the continued expansion of electronic commerce through the operation of free market forces, and for other purposes."", ""type"": ""s"", ""number"": 761, ""congress"": 106}",null,0.0,"A bill to regulate interstate commerce by electronic means by permitting and encouraging the continued expansion of electronic commerce through the operation of free market forces, and for other purposes.",,"On the Conference Report S.  A bill to regulate interstate commerce by electronic means by permitting and encouraging the continued expansion of electronic commerce through the operation of free market forces, and for other purposes. "
S223,s,106.0,134.0,2000-06-20T16:07:00-04:00,2000,procedural,1/2,s134-106.2000,On the Motion to Table S.Amdt. 3252 to S. 2549 (National Defense Authorization Act for Fiscal Year 2001),"{""title"": ""National Defense Authorization Act for Fiscal Year 2001"", ""type"": ""s"", ""number"": 2549, ""congress"": 106}","{""type"": ""s"", ""number"": 3252, ""purpose"": ""To repeal the restriction on the use of Department of Defense facilities for privately funded abortions.""}",0.0,National Defense Authorization Act for Fiscal Year 2001,,On the Motion to Table S.Amdt.  to S.  (National Defense Authorization Act for Fiscal Year ) National Defense Authorization Act for Fiscal Year  
S223,s,106.0,135.0,2000-06-20T16:37:00-04:00,2000,amendment,1/2,s135-106.2000,On the Amendment S.Amdt. 3474 to S. 2549 (National Defense Authorization Act for Fiscal Year 2001),"{""title"": ""National Defense Authorization Act for Fiscal Year 2001"", ""type"": ""s"", ""number"": 2549, ""congress"": 106}","{""type"": ""s"", ""number"": 3474, ""purpose"": ""To authorize a comprehensive study and to provide assistance to State and local law enforcement.""}",0.0,National Defense Authorization Act for Fiscal Year 2001,,On the Amendment S.Amdt.  to S.  (National Defense Authorization Act for Fiscal Year ) National Defense Authorization Act for Fiscal Year  
S223,s,106.0,136.0,2000-06-20T17:03:00-04:00,2000,amendment,1/2,s136-106.2000,On the Amendment S.Amdt. 3473 to S. 2549 (National Defense Authorization Act for Fiscal Year 2001),"{""title"": ""National Defense Authorization Act for Fiscal Year 2001"", ""type"": ""s"", ""number"": 2549, ""congress"": 106}","{""type"": ""s"", ""number"": 3473, ""purpose"": ""To enhance Federal enforcement of hate crimes and for other purposes.""}",1.0,National Defense Authorization Act for Fiscal Year 2001,,On the Amendment S.Amdt.  to S.  (National Defense Authorization Act for Fiscal Year ) National Defense Authorization Act for Fiscal Year  
S223,s,106.0,137.0,2000-06-20T17:31:00-04:00,2000,procedural,1/2,s137-106.2000,On the Motion to Table S.Amdt. 3475 to S. 2549 (National Defense Authorization Act for Fiscal Year 2001),"{""title"": ""National Defense Authorization Act for Fiscal Year 2001"", ""type"": ""s"", ""number"": 2549, ""congress"": 106}","{""type"": ""s"", ""number"": 3475, ""purpose"": ""To establish a National Bipartisan Commission on Cuba to evaluate United States policy with respect to Cuba.""}",0.0,National Defense Authorization Act for Fiscal Year 2001,,On the Motion to Table S.Amdt.  to S.  (National Defense Authorization Act for Fiscal Year ) National Defense Authorization Act for Fiscal Year  
S223,s,106.0,138.0,2000-06-21T14:16:00-04:00,2000,procedural,1/2,s138-106.2000,"On the Motion to Table S.Amdt. 3518 to S. 2522 (Foreign Operations, Export Financing, and Related Programs Appropriations Act, 2001)","{""title"": ""Foreign Operations, Export Financing, and Related Programs Appropriations Act, 2001"", ""type"": ""s"", ""number"": 2522, ""congress"": 106}","{""type"": ""s"", ""number"": 3518, ""purpose"": ""To provide additional funding for the substance abuse and mental health services.""}",0.0,"Foreign Operations, Export Financing, and Related Programs Appropriations Act, 2001",,"On the Motion to Table S.Amdt.  to S.  (Foreign Operations, Export Financing, and Related Programs Appropriations Act, ) Foreign Operations, Export Financing, and Related Programs Appropriations Act,  "
S223,s,106.0,139.0,2000-06-21T18:19:00-04:00,2000,amendment,1/2,s139-106.2000,"On the Amendment S.Amdt. 3517 to S. 2522 (Foreign Operations, Export Financing, and Related Programs Appropriations Act, 2001)","{""title"": ""Foreign Operations, Export Financing, and Related Programs Appropriations Act, 2001"", ""type"": ""s"", ""number"": 2522, ""congress"": 106}","{""type"": ""s"", ""number"": 3517, ""purpose"": ""To reduce the amount of funds made available for South American and Caribbean counternarcotics activities, and for other purposes.""}",1.0,"Foreign Operations, Export Financing, and Related Programs Appropriations Act, 2001",,"On the Amendment S.Amdt.  to S.  (Foreign Operations, Export Financing, and Related Programs Appropriations Act, ) Foreign Operations, Export Financing, and Related Programs Appropriations Act,  "
S223,s,106.0,14.0,2000-02-24T12:45:00-05:00,2000,nomination,1/2,s14-106.2000,"On the Nomination PN499: George B. Daniels, of New York, to be United States District Judge for the Southern District of New York",null,null,1.0,,,"On the Nomination PN: George B. Daniels, of New York, to be United States District Judge for the Southern District of New York  "
S223,s,106.0,140.0,2000-06-21T18:48:00-04:00,2000,amendment,1/2,s140-106.2000,"On the Amendment S.Amdt. 3524 to S. 2522 (Foreign Operations, Export Financing, and Related Programs Appropriations Act, 2001)","{""title"": ""Foreign Operations, Export Financing, and Related Programs Appropriations Act, 2001"", ""type"": ""s"", ""number"": 2522, ""congress"": 106}","{""type"": ""s"", ""number"": 3524, ""purpose"": ""To provide not less than $110,000,000 for procurement and support for helicopters to support missions to eradicate the cultivation and processing of illicit drugs in remote areas of Colombia.""}",1.0,"Foreign Operations, Export Financing, and Related Programs Appropriations Act, 2001",,"On the Amendment S.Amdt.  to S.  (Foreign Operations, Export Financing, and Related Programs Appropriations Act, ) Foreign Operations, Export Financing, and Related Programs Appropriations Act,  "
S223,s,106.0,141.0,2000-06-22T14:53:00-04:00,2000,procedural,1/2,s141-106.2000,On the Motion (Shall The Bill S. 2522 Be Read A Third Time?),"{""title"": ""An original bill making appropriations for foreign operations, export financing, and related programs for the fiscal year ending September 30, 2001, and for other purposes."", ""type"": ""s"", ""number"": 2522, ""congress"": 106}",null,1.0,"An original bill making appropriations for foreign operations, export financing, and related programs for the fiscal year ending September 30, 2001, and for other purposes.",,"On the Motion (Shall The Bill S.  Be Read A Third Time?) An original bill making appropriations for foreign operations, export financing, and related programs for the fiscal year ending September , , and for other purposes. "
S223,s,106.0,142.0,2000-06-22T17:15:00-04:00,2000,procedural,1/2,s142-106.2000,On the Motion (Motion To Instruct The Sergeant At Arms),"{""title"": ""A bill making appropriations for the Departments of Labor, Health and Human Services, and Education, and related agencies for the fiscal year ending September 30, 2001, and for other purposes."", ""type"": ""hr"", ""number"": 4577, ""congress"": 106}",null,0.0,"A bill making appropriations for the Departments of Labor, Health and Human Services, and Education, and related agencies for the fiscal year ending September 30, 2001, and for other purposes.",,"On the Motion (Motion To Instruct The Sergeant At Arms) A bill making appropriations for the Departments of Labor, Health and Human Services, and Education, and related agencies for the fiscal year ending September , , and for other purposes. "
S223,s,106.0,143.0,2000-06-22T20:01:00-04:00,2000,amendment,1/2,s143-106.2000,"On the Amendment S.Amdt. 3593 to H.R. 4577 (Consolidated Appropriations Act, 2001)","{""title"": ""Consolidated Appropriations Act, 2001"", ""type"": ""hr"", ""number"": 4577, ""congress"": 106}","{""type"": ""s"", ""number"": 3593, ""purpose"": ""To limit the use of funds for standards relating to ergonomic protection.""}",0.0,"Consolidated Appropriations Act, 2001",,"On the Amendment S.Amdt.  to H.R.  (Consolidated Appropriations Act, ) Consolidated Appropriations Act,  "
